bioguide,last_name,state,party,num_votes,agree,agree_pred,margin_trump
A000360,Alexander,TN,R,118,0.889830508474576,0.8562756,26.0057009
B000575,Blunt,MO,R,128,0.90625,0.78650281,18.637117
B000944,Brown,OH,D,128,0.2578125,0.64165848,8.1295744
B001135,Burr,NC,R,121,0.892561983471074,0.56006116,3.65522853
B001230,Baldwin,WI,D,128,0.2265625,0.50999485,0.7643432
B001236,Boozman,AR,R,129,0.914728682170543,0.85128633,26.92097803
B001243,Blackburn,TN,R,131,0.885496183206107,0.88858059,26.0057009
B001261,Barrasso,WY,R,129,0.891472868217054,0.89536686,46.29527573
B001267,Bennet,CO,D,121,0.272727272727273,0.41676567,-4.90558301
B001277,Blumenthal,CT,D,128,0.203125,0.29411808,-13.63938672
B001288,Booker,NJ,D,119,0.159663865546218,0.29032081,-14.1026978
B001310,Braun,IN,R,44,0.909090909090909,0.71280428,19.16519376
C000127,Cantwell,WA,D,128,0.2421875,0.27607529,-15.4790881
C000141,Cardin,MD,D,128,0.25,0.20925594,-26.41643951
C000174,Carper,DE,D,129,0.294573643410853,0.31783029,-11.43051247
C000567,Cochran,MS,R,68,0.970588235294118,0.82996148,17.82624982
C000880,Crapo,ID,R,125,0.904,0.87005797,31.76941855
C001035,Collins,ME,R,129,0.651162790697674,0.44091805,-2.96044935
C001047,Capito,WV,R,127,0.921259842519685,0.89600244,42.15364679
C001056,Cornyn,TX,R,129,0.922480620155039,0.65903513,8.9994276
C001070,Casey,PA,D,129,0.286821705426357,0.508316,0.72426964
C001071,Corker,TN,R,81,0.839506172839506,0.87920266,26.0057009
C001075,Cassidy,LA,R,128,0.890625,0.79834231,19.63911856
C001088,Coons,DE,D,128,0.2890625,0.31935501,-11.43051247
C001095,Cotton,AR,R,129,0.868217054263566,0.85128633,26.92097803
C001096,Cramer,ND,R,135,0.940740740740741,0.90829926,35.72888837
C001098,Cruz,TX,R,126,0.920634920634921,0.66347805,8.9994276
C001113,Cortez Masto,NV,D,129,0.27906976744186,0.45051175,-2.41712836
D000563,Durbin,IL,D,126,0.238095238095238,0.26348621,-17.06361362
D000607,Donnelly,IN,D,83,0.542168674698795,0.83336329,19.16519376
D000618,Daines,MT,R,128,0.8359375,0.80475332,20.42273211
D000622,Duckworth,IL,D,124,0.25,0.2669797,-17.06361362
E000285,Enzi,WY,R,125,0.888,0.91026046,46.29527573
E000295,Ernst,IA,R,129,0.883720930232558,0.6657354,9.40683805
F000062,Feinstein,CA,D,128,0.2421875,0.2005461,-30.10929307
F000444,Flake,AZ,R,80,0.8125,0.60153693,3.54559463
F000457,Franken,MN,D,55,0.236363636363636,0.49529896,-1.52013048
F000463,Fischer,NE,R,129,0.891472868217054,0.84032135,25.04859475
G000359,Graham,SC,R,121,0.859504132231405,0.74736222,14.2659129
G000386,Grassley,IA,R,129,0.883720930232558,0.6657354,9.40683805
G000555,Gillibrand,NY,D,121,0.12396694214876,0.24152188,-22.49045614
G000562,Gardner,CO,R,122,0.885245901639344,0.41579746,-4.90558301
H000273,Hickenlooper,CO,D,2,0,0.0301592,-4.90558301
H000338,Hatch,UT,R,84,0.964285714285714,0.824664,18.07933323
H000601,Hagerty,TN,R,2,0,0.11513174,26.0057009
H001041,Heller,NV,R,83,0.91566265060241,0.4997653,-2.41712836
H001042,Hirono,HI,D,129,0.224806201550388,0.19233725,-32.18281473
H001046,Heinrich,NM,D,128,0.265625,0.35798192,-8.2132684
H001061,Hoeven,ND,R,129,0.922480620155039,0.88324723,35.72888837
H001069,Heitkamp,ND,D,84,0.547619047619048,0.91518938,35.72888837
H001075,Harris,CA,D,116,0.163793103448276,0.20894933,-30.10929307
H001076,Hassan,NH,D,129,0.286821705426357,0.48787561,-0.36766386
H001079,Hyde-Smith,MS,R,61,0.918032786885246,0.72350819,17.82624982
H001089,Hawley,MO,R,45,0.866666666666667,0.70978909,18.637117
I000024,Inhofe,OK,R,128,0.8984375,0.88372972,36.39118454
I000055,Isakson,GA,R,88,0.920454545454545,0.5916867,5.15937819
J000293,Johnson,WI,R,129,0.86046511627907,0.50907048,0.7643432
J000300,Jones,AL,D,68,0.352941176470588,0.84480035,27.72514661
K000352,Kyl,AZ,R,7,0.714285714285714,0.63824333,3.54559463
K000367,Klobuchar,MN,D,120,0.266666666666667,0.47174869,-1.52013048
K000377,Kelly,AZ,D,5,0.2,0.26232958,3.54559463
K000383,King,ME,D,129,0.372093023255814,0.44091805,-2.96044935
K000384,Kaine,VA,D,129,0.294573643410853,0.4012236,-5.32370582
K000393,Kennedy,LA,R,128,0.875,0.79628551,19.63911856
L000174,Leahy,VT,D,128,0.234375,0.20722157,-26.40835124
L000570,Luján,NM,D,186,0.123655913978495,0.24349265,-8.2132684
L000571,Lummis,WY,R,2,0.5,0.22525176,46.29527573
L000575,Lankford,OK,R,129,0.868217054263566,0.8846309,36.39118454
L000577,Lee,UT,R,127,0.732283464566929,0.78102134,18.07933323
L000594,Loeffler,GA,R,15,0.8,0.56091428,5.15937819
M000133,Markey,MA,D,127,0.165354330708661,0.21294772,-27.19670645
M000303,McCain,AZ,R,53,0.830188679245283,0.61164701,3.54559463
M000355,McConnell,KY,R,128,0.9140625,0.86405946,29.83745022
M000639,Menendez,NJ,D,127,0.220472440944882,0.27976373,-14.1026978
M000934,Moran,KS,R,127,0.811023622047244,0.81059582,20.60221107
M001111,Murray,WA,D,127,0.236220472440945,0.28130931,-15.4790881
M001153,Murkowski,AK,R,124,0.725806451612903,0.74500794,14.73064079
M001169,Murphy,CT,D,127,0.251968503937008,0.2958906,-13.63938672
M001170,McCaskill,MO,D,83,0.457831325301205,0.83012856,18.637117
M001176,Merkley,OR,D,129,0.155038759689922,0.32300453,-10.97781682
M001183,Manchin,WV,D,129,0.503875968992248,0.89270586,42.15364679
M001197,McSally,AZ,R,136,0.948529411764706,0.56227524,3.54559463
M001198,Marshall,KS,R,183,0.972677595628415,0.93267179,20.60221107
N000032,Nelson,FL,D,83,0.433734939759036,0.56806183,1.19862561
P000449,Portman,OH,R,128,0.8828125,0.64209123,8.1295744
P000595,Peters,MI,D,128,0.28125,0.49840175,0.22303327
P000603,Paul,KY,R,119,0.689075630252101,0.85881753,29.83745022
P000612,Perdue,GA,R,119,0.941176470588235,0.60581824,5.15937819
R000122,Reed,RI,D,129,0.232558139534884,0.27787963,-15.50854907
R000307,Roberts,KS,R,127,0.937007874015748,0.81792339,20.60221107
R000584,Risch,ID,R,127,0.881889763779528,0.87093771,31.76941855
R000595,Rubio,FL,R,126,0.880952380952381,0.51790103,1.19862561
R000605,Rounds,SD,R,120,0.9,0.87284902,29.79332222
R000608,Rosen,NV,D,136,0.345588235294118,0.60443997,-2.41712836
R000615,Romney,UT,R,44,0.75,0.69647249,18.07933323
S000033,Sanders,VT,D,112,0.160714285714286,0.22053384,-26.40835124
S000148,Schumer,NY,D,129,0.232558139534884,0.23133772,-22.49045614
S000320,Shelby,AL,R,129,0.906976744186046,0.85547550000000006,27.72514661
S000770,Stabenow,MI,D,129,0.27906976744186,0.49890179,0.22303327
S001141,Sessions,AL,R,8,1,0.95761291,27.72514661
S001181,Shaheen,NH,D,128,0.296875,0.48916035,-0.36766386
S001184,Scott,SC,R,127,0.905511811023622,0.73399862,14.2659129
S001191,Sinema,AZ,D,135,0.503703703703704,0.39805773,3.54559463
S001194,Schatz,HI,D,128,0.234375,0.1938061,-32.18281473
S001197,Sasse,NE,R,125,0.848,0.84727002,25.04859475
S001198,Sullivan,AK,R,123,0.886178861788618,0.74420321,14.73064079
S001202,Strange,AL,R,45,0.911111111111111,0.88745216,27.72514661
S001203,Smith,MN,D,72,0.25,0.43253625,-1.52013048
S001217,Scott,FL,R,44,0.840909090909091,0.41393186,1.19862561
T000250,Thune,SD,R,128,0.9140625,0.86387528,29.79332222
T000278,Tuberville,AL,R,2,1,0.12263022,27.72514661
T000461,Toomey,PA,R,124,0.854838709677419,0.50443241,0.72426964
T000464,Tester,MT,D,129,0.302325581395349,0.80509327,20.42273211
T000476,Tillis,NC,R,127,0.905511811023622,0.56654009,3.65522853
U000039,Udall,NM,D,127,0.251968503937008,0.36333519,-8.2132684
V000128,Van Hollen,MD,D,128,0.2265625,0.21474704,-26.41643951
W000437,Wicker,MS,R,129,0.906976744186046,0.7796231,17.82624982
W000779,Wyden,OR,D,129,0.186046511627907,0.32300453,-10.97781682
W000802,Whitehouse,RI,D,127,0.228346456692913,0.27700335,-15.50854907
W000805,Warner,VA,D,129,0.348837209302326,0.4012236,-5.32370582
W000817,Warren,MA,D,116,0.155172413793103,0.21559898,-27.19670645
Y000064,Young,IN,R,129,0.821705426356589,0.79330107,19.16519376
